1.Oct30,PHI(1-0)beatMIA,114-110
2.Nov1@WAS,PHI(2-0)beatWAS,109-102
3.Nov2,PHI(3-0)beatCHI,107-104
4.Nov4,PHI(3-1)losttoGSW,90-110
5.Nov6,PHI(3-2)losttoWAS,102-116
6.Nov8,PHI(4-2)beatCLE,94-79
7.Nov9@CLE,PHI(4-3)losttoCLE,125-127
8.Nov11,PHI(4-4)losttoSAS,85-109
9.Nov13,PHI(5-4)beatHOU,123-117
10.Nov15@ATL,PHI(5-5)losttoATL,103-113
11.Nov16@NOP,PHI(5-6)losttoNOP,98-135
12.Nov18@DAL,PHI(5-7)losttoDAL,94-97
13.Nov20,PHI(5-8)losttoTOR,98-108
14.Nov22,PHI(6-8)beatMIL,115-107
15.Nov23@IND,PHI(6-9)losttoIND,98-106
16.Nov27@ORL,PHI(6-10)losttoORL,94-105
17.Nov29,PHI(6-11)losttoNOP,105-121
18.Dec1@DET,PHI(6-12)losttoDET,100-115
19.Dec3,PHI(7-12)beatORL,126-125
20.Dec6@CHA,PHI(7-13)losttoCHA,88-105
21.Dec7,PHI(7-14)losttoDEN,92-103
22.Dec9,PHI(7-15)losttoLAC,83-94
23.Dec11@MIN,PHI(7-16)losttoMIN,99-106
24.Dec13@TOR,PHI(7-17)losttoTOR,100-108
25.Dec14,PHI(7-18)losttoPOR,105-139
26.Dec16@BRK,PHI(7-19)losttoBRK,94-130
27.Dec20,PHI(8-19)beatBRK,121-120
